Math,Reading,Writing
48,68,63
62,81,72
79,80,78
76,83,79
59,64,62
69,84,85
70,84,83
46,48,41
61,78,80
86,78,77
62,69,64
72,88,90
56,44,45
81,78,77
61,70,70
49,44,46
60,71,76
45,48,44
71,90,85
75,75,72
66,58,53
57,66,66
67,72,75
63,52,49
68,86,84
68,90,83
62,66,68
56,75,66
82,78,77
64,82,78
71,77,74
69,90,83
64,74,72
76,69,65
61,41,46
47,61,66
50,53,50
75,77,79
69,74,68
42,44,46
73,87,86
78,77,70
65,62,61
51,49,53
61,68,72
69,72,75
51,53,50
64,74,77
90,100,100
58,74,81
100,100,100
73,89,87
62,81,78
45,51,48
47,50,50
53,49,44
62,55,48
49,50,43
77,69,67
70,81,78
60,55,58
82,92,91
100,98,92
72,83,78
62,43,42
87,92,85
56,68,73
96,83,83
68,60,61
66,58,58
68,61,60
59,59,55
52,48,48
60,63,62
60,65,68
46,53,59
62,67,62
30,47,48
83,76,74
69,65,63
82,82,80
64,81,79
57,72,73
71,77,79
37,46,45
69,64,67
72,87,89
73,79,77
70,79,81
75,82,88
54,51,53
71,73,68
60,72,79
81,70,77
58,66,63
54,70,73
49,62,60
64,63,67
84,100,100
84,88,79
33,31,26
51,53,51
68,76,80
32,56,57
43,39,41
73,79,78
82,75,68
47,44,49
74,78,76
36,48,41
58,70,71
68,82,77
92,86,89
75,91,86
43,48,55
68,84,80
49,56,56
69,76,74
91,86,85
83,75,80
65,70,73
79,80,74
74,84,86
81,65,56
41,49,53
48,48,44
31,39,41
53,56,59
87,67,71
94,83,81
77,76,74
57,81,78
64,68,67
55,56,53
61,55,56
78,80,75
94,79,82
88,80,79
77,90,99
90,84,76
55,66,59
83,99,96
68,71,75
66,69,61
56,67,56
65,85,88
84,66,65
90,100,100
80,77,79
47,62,55
67,61,61
79,85,83
68,71,74
62,57,59
62,61,54
44,48,47
74,90,82
67,74,74
46,65,59
71,73,74
73,83,84
49,69,59
42,40,43
55,77,65
73,70,61
75,73,78
96,86,84
66,74,73
56,70,73
100,95,92
53,59,63
68,76,72
72,64,61
55,60,59
59,74,70
76,92,87
84,85,78
68,62,65
61,78,73
53,65,62
73,66,69
61,58,55
73,65,73
63,63,63
51,70,67
70,83,86
69,78,78
61,87,85
88,81,83
90,85,80
60,58,60
100,89,90
68,62,56
85,68,70
41,55,55
70,75,80
91,87,82
68,68,60
63,76,78
81,75,76
89,88,94
66,71,75
59,64,68
80,67,71
87,86,85
30,49,46
63,59,58
43,50,46
73,74,84
49,66,58
65,57,57
72,59,59
83,75,77
46,56,63
65,67,68
100,95,99
40,46,48
73,94,91
58,62,57
87,84,80
61,53,46
71,74,75
72,63,59
81,78,87
67,83,82
69,79,79
53,68,66
70,73,68
56,65,66
84,74,61
44,55,66
63,62,63
82,76,72
61,76,73
68,81,77
75,88,84
78,82,83
32,43,42
62,71,72
84,80,76
65,75,76
41,33,39
57,72,74
54,48,43
58,65,63
68,82,74
53,48,52
30,33,31
63,63,65
36,44,45
85,94,87
66,62,63
45,53,51
69,85,82
71,87,86
70,80,76
31,41,27
61,76,70
73,74,79
66,63,66
63,65,61
64,64,62
63,49,47
19,19,17
64,64,65
96,84,76
59,80,75
59,71,66
75,72,59
51,63,61
100,96,93
45,48,40
67,67,66
34,44,43
82,80,71
62,60,64
59,59,55
84,80,86
80,67,65
65,68,70
